Start_date,End_Date,Crime,Current,Prior,Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
  12/28/2020,  1/3/2021,Murder,0,0,***.*,2,2,0,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Rape,1,0,***.*,2,0,***.*,1,0,***.*,0,0,-50,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Robbery,4,3,33.3,17,17,0,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Fel. Assault,5,12,-58.3,38,47,-19.1,1,6,-83.3,-75,-66.7,-90,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Burglary,9,5,80,32,20,60,3,1,200,0,-62.5,-84.2,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Gr. Larceny,17,14,21.4,87,88,-1.1,4,4,0,-42.9,-20,-20,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,G.L.A.,3,1,200,17,8,112.5,0,0,***.*,***.*,-100,-100,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,TOTAL,39,35,11.43,195,182,7.14,9,12,-25,-47.06,-60.87,-88.89,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Housing,1,2,-50,6,7,-14.3,0,1,-100,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Petit Larceny,38,38,0,197,228,-13.6,8,13,-38.5,-74.2,-61.9,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Misd. Assault,19,31,-38.7,88,109,-19.3,6,17,-64.7,-33.3,-40,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Misd. Sex Crimes,2,1,100,3,3,0,1,1,0,0,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Shooting Vic.,1,3,-66.7,8,8,0,1,2,-50,-50,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Shooting Inc.,0,1,-100,2,4,-50,0,0,***.*,-100,***.*,-100,28,53,Bill de Blasio,Dermot Shea,Staten Island
  12/28/2020,  1/3/2021,Murder,2,0,***.*,4,2,100,1,0,***.*,***.*,0,0,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Rape,2,2,0,9,9,0,2,1,100,***.*,***.*,-33.3,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Robbery,24,31,-22.6,92,128,-28.1,9,12,-25,50,-30.8,-74.3,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Fel. Assault,37,40,-7.5,159,170,-6.5,21,18,16.7,50,61.5,-38.2,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Burglary,20,16,25,86,77,11.7,10,8,25,0,-28.6,-86.7,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Gr. Larceny,33,50,-34,157,249,-36.9,7,22,-68.2,-74.1,-30,-80,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,G.L.A.,28,25,12,84,79,6.3,10,13,-23.1,233.3,-28.6,-92.9,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,TOTAL,146,164,-10.98,591,714,-17.23,60,74,-18.92,0,-7.69,-81.42,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Transit,0,2,-100,4,14,-71.4,0,1,-100,-100,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Housing,3,5,-40,11,14,-21.4,1,2,-50,0,-50,***.*,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Petit Larceny,130,147,-11.6,600,621,-3.4,37,48,-22.9,-14,146.7,***.*,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Misd. Assault,71,81,-12.3,238,291,-18.2,31,30,3.3,-29.5,-29.5,***.*,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Misd. Sex Crimes,3,4,-25,12,13,-7.7,2,2,0,-33.3,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Shooting Vic.,3,6,-50,17,29,-41.4,1,3,-66.7,-75,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Shooting Inc.,9,0,***.*,22,4,450,7,0,***.*,***.*,600,-22.2,28,53,Bill de Blasio,Dermot Shea,Queens South
  12/28/2020,  1/3/2021,Murder,1,0,***.*,2,0,***.*,1,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Rape,5,2,150,8,16,-50,4,2,100,100,300,33.3,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Robbery,29,25,16,102,112,-8.9,14,13,7.7,100,55.6,-80.8,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Fel. Assault,33,40,-17.5,129,146,-11.6,17,24,-29.2,21.4,112.5,-50,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Burglary,35,21,66.7,188,113,66.4,11,9,22.2,-8.3,-47.6,-90,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Gr. Larceny,66,80,-17.5,301,367,-18,21,29,-27.6,-16,-25,-44.7,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,G.L.A.,27,15,80,88,44,100,13,8,62.5,85.7,8.3,-91.4,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,TOTAL,196,183,7.1,818,798,2.51,81,85,-4.71,20.9,2.53,-80.2,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Transit,2,5,-60,9,22,-59.1,0,2,-100,-100,-100,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Housing,4,4,0,11,10,10,2,1,100,0,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Petit Larceny,221,201,10,940,868,8.3,61,73,-16.4,-14.1,29.8,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
