Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
33.3,17,17,0,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,Staten Island
33.3,17,17,0,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,Staten Island
-58.3,38,47,-19.1,1,6,-83.3,-75,-66.7,-90,28,53,Bill de Blasio,Dermot Shea,Staten Island
80,32,20,60,3,1,200,0,-62.5,-84.2,28,53,Bill de Blasio,Dermot Shea,Staten Island
21.4,87,88,-1.1,4,4,0,-42.9,-20,-20,28,53,Bill de Blasio,Dermot Shea,Staten Island
11.43,195,182,7.14,9,12,-25,-47.06,-60.87,-88.89,28,53,Bill de Blasio,Dermot Shea,Staten Island
-22.6,92,128,-28.1,9,12,-25,50,-30.8,-74.3,28,53,Bill de Blasio,Dermot Shea,Queens South
-7.5,159,170,-6.5,21,18,16.7,50,61.5,-38.2,28,53,Bill de Blasio,Dermot Shea,Queens South
25,86,77,11.7,10,8,25,0,-28.6,-86.7,28,53,Bill de Blasio,Dermot Shea,Queens South
-34,157,249,-36.9,7,22,-68.2,-74.1,-30,-80,28,53,Bill de Blasio,Dermot Shea,Queens South
12,84,79,6.3,10,13,-23.1,233.3,-28.6,-92.9,28,53,Bill de Blasio,Dermot Shea,Queens South
-10.98,591,714,-17.23,60,74,-18.92,0,-7.69,-81.42,28,53,Bill de Blasio,Dermot Shea,Queens South
150,8,16,-50,4,2,100,100,300,33.3,28,53,Bill de Blasio,Dermot Shea,Queens North
16,102,112,-8.9,14,13,7.7,100,55.6,-80.8,28,53,Bill de Blasio,Dermot Shea,Queens North
-17.5,129,146,-11.6,17,24,-29.2,21.4,112.5,-50,28,53,Bill de Blasio,Dermot Shea,Queens North
66.7,188,113,66.4,11,9,22.2,-8.3,-47.6,-90,28,53,Bill de Blasio,Dermot Shea,Queens North
-17.5,301,367,-18,21,29,-27.6,-16,-25,-44.7,28,53,Bill de Blasio,Dermot Shea,Queens North
80,88,44,100,13,8,62.5,85.7,8.3,-91.4,28,53,Bill de Blasio,Dermot Shea,Queens North
7.1,818,798,2.51,81,85,-4.71,20.9,2.53,-80.2,28,53,Bill de Blasio,Dermot Shea,Queens North
-4.2,111,105,5.7,9,6,50,50,-10,-86.8,28,53,Bill de Blasio,Dermot Shea,Manhattan South
-18.9,93,116,-19.8,12,12,0,-14.3,-7.7,-65.7,28,53,Bill de Blasio,Dermot Shea,Manhattan South
104.2,204,107,90.7,17,8,112.5,13.3,88.9,-72.6,28,53,Bill de Blasio,Dermot Shea,Manhattan South
-40.6,494,911,-45.8,35,73,-52.1,-52.1,-50.7,-83.2,28,53,Bill de Blasio,Dermot Shea,Manhattan South
60,34,18,88.9,3,2,50,200,200,-94.5,28,53,Bill de Blasio,Dermot Shea,Manhattan South
-21.48,949,"1,265",-24.98,76,101,-24.75,-30.28,-26.92,-82.33,28,53,Bill de Blasio,Dermot Shea,Manhattan South
-100,2,3,-33.3,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,Manhattan North
-25,12,13,-7.7,2,2,0,0,0,-77.8,28,53,Bill de Blasio,Dermot Shea,Manhattan North
-15.2,140,141,-0.7,5,12,-58.3,-64.3,-70.6,-91.8,28,53,Bill de Blasio,Dermot Shea,Manhattan North
10,162,177,-8.5,24,20,20,33.3,33.3,-61.9,28,53,Bill de Blasio,Dermot Shea,Manhattan North
10.7,137,128,7,8,10,-20,-33.3,60,-87.3,28,53,Bill de Blasio,Dermot Shea,Manhattan North
-38.1,315,456,-30.9,15,48,-68.8,-60.5,15.4,-76.2,28,53,Bill de Blasio,Dermot Shea,Manhattan North
62.5,61,25,144,6,2,200,500,100,-92.5,28,53,Bill de Blasio,Dermot Shea,Manhattan North
-25,25,22,13.6,1,2,-50,-75,-50,-83.3,28,53,Bill de Blasio,Dermot Shea,Bronx
-9.5,294,253,16.2,34,36,-5.6,41.7,30.8,-72.6,28,53,Bill de Blasio,Dermot Shea,Bronx
2.1,416,361,15.2,46,48,-4.2,-20.7,58.6,-47.7,28,53,Bill de Blasio,Dermot Shea,Bronx
4.3,186,163,14.1,14,19,-26.3,-12.5,-36.4,-88,28,53,Bill de Blasio,Dermot Shea,Bronx
-17.8,439,480,-8.5,24,44,-45.5,-44.2,100,-40,28,53,Bill de Blasio,Dermot Shea,Bronx
6.5,180,121,48.8,12,7,71.4,-7.7,100,-90.3,28,53,Bill de Blasio,Dermot Shea,Bronx
-5.53,"1,547","1,405",10.11,132,157,-15.92,-16.46,36.08,-73.86,28,53,Bill de Blasio,Dermot Shea,Bronx
11.1,138,147,-6.1,15,13,15.4,36.4,-31.8,-86.5,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
-14.8,191,206,-7.3,22,32,-31.3,-15.4,29.4,-61.4,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
-11.9,148,141,5,13,13,0,-13.3,-51.9,-90.7,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
-25,323,449,-28.1,24,48,-50,-29.4,-4,-40,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
